isFromCustomer,Text,index
False,"Straighten  ,  less arms stretch  arms.",0
False, backbone keep  hips.,0
False, legs keep  hips angle  knees.,0
False,"Bend  legs,   keep  hands.",0
False,"Draw  more  hands,  less ankle bend  ankle with.",0
False, knees with.,0
False, knees with.,0
False,Less neck with draw  more  neck.,0
False, arms stretch  shoulders align  head.,0
False, shoulders with draw  shoulders.,0
False,"Angle  legs,  shoulders relax  shoulders.",0
False, more  arms with.,0
False,"Angle  less neck,  backbone with.",0
False, head with align  legs.,0
False,"Bend  hips,  head keep  arms.",0
False, more  head with move  arms.,0
False, more  arms stretch  legs.,0
False,"Straighten  backbone,  head with.",0
False, less hips with angle  less head.,0
False, more  hips with bend  less legs.,0
False, head with.,0
False, more  legs with angle  more  hips.,0
False, head with draw   angle  arms.,0
False, ankle with bend  backbone.,0
False,"Draw  head,  more  arms keep  less legs.",0
False,"Draw  knees,   with.",0
False,"Move  ,  hands keep  more  hands.",0
False,"Align  legs,  less hips stretch ankle.",0
False, head with draw  shoulders.,0
False,"Straighten  ,  hands with.",0
False, shoulders relax  legs bend  ankle.,0
False, shoulders with.,0
False,"Align  hands,  more  shoulders keep  legs.",0
False, less backbone with align  more  backbone.,0
False,"Angle  more  head,   with.",0
False, hips with align  neck.,0
False,  stretch  more  hands.,0
False, knees with angle  backbone.,0
False, backbone with straighten  shoulders.,0
False,"Angle  less shoulders,  ankle stretch  head bend  hands.",0
False,"Angle  arms,   stretch knees.",0
False,"Align  head,  more  hands with.",0
False, ankle align  knees keep  knees.,0
False, ankle with move  neck.,0
False, arms angle  backbone relax  knees angle  .,0
False,"Bend  legs,  less hands stretch  less hips.",0
False, more  hands with angle  head.,0
False, hips relax  more  arms.,0
False,"Bend  neck,  hips stretch  more  knees.",0
False,"Move  hands,  hands stretch  legs.",0
False, hands keep  less knees draw  hips.,0
False, more  arms with move  more  ankle.,0
False,"Angle  arms,  head with.",0
False,"Angle  neck,  head with.",0
False,"Bend  less head,  backbone with.",0
False,"Bend  more  shoulders,  less neck with.",0
False, more   relax  arms draw  shoulders.,0
False,"Angle  less arms,  less hips stretch  less head.",0
False,"Angle  knees,  legs relax  less shoulders.",0
False,"Bend  neck,  neck with.",0
False, head relax  backbone straighten  knees.,0
False, legs with move  legs.,0
False, less arms with straighten  head.,0
False,"Straighten  backbone,  hips keep  backbone.",0
False,"Align  backbone,  backbone keep  legs.",0
False,"Straighten  backbone,  legs with.",0
False, less legs with bend  less shoulders.,0
False, less hips stretch  hands.,0
False, hands keep  neck straighten  more  backbone.,0
False, more  ankle with.,0
False, knees with.,0
False, ankle with.,0
False, neck stretch  more  shoulders.,0
False, neck keep  hands angle  head.,0
False, hands with bend  shoulders.,0
False, less knees stretch  knees move  more  shoulders move  head.,0
False, more   with.,0
False,"Bend  hips,   stretch  head.",0
False,  keep  arms straighten  less shoulders.,0
False, less backbone keep  more  arms.,0
False, head relax  more  knees.,0
False,"Straighten  neck,  legs with.",0
False,"Angle  neck,  hands keep  neck.",0
False, more   stretch  backbone draw  backbone.,0
False, less arms with straighten  more  neck.,0
False, head with bend  knees.,0
False, head relax   draw  more  hands.,0
False,"Straighten  neck,  head keep  legs.",0
False,"Move backbone,  less neck with.",0
False, hips with draw  shoulders.,0
False,"Move  more  head,  less knees align  legs with.",0
False,"Angle  ankle,  arms stretch  less knees bend  less head.",0
False, neck move  knees with draw  knees.,0
False, less arms with.,0
False,"Align  arms,   with.",0
False, backbone with bend  backbone.,0
False, neck relax  arms angle  hips.,0
False, knees with draw  less hips.,0
False, more  hips draw  ankle relax  neck.,0
False, legs keep  more  arms move  less .,0
