IsFromCustomer,Text,index
False,well done continue your excercise,0
False,perfectly done continue excercise,0
False,good work continue excercise,0
False,for bicepcurl angle less for backbone PLease keep backbone staright,0
False,for lunges angle less for backbone PLease keep backbone straight,0
False,angle less for legs,0
False,angle less for hand,0
False,angle less for hand PLease keep your arms straight,0
False,angle good for arms,0	
False,for bicepcurl angle less for neck PLease keep neck straight,0
False,for lunges angle more for knee PLease bend more,0
